Vowel, Recording#, F1, F2
a,0,411.1194,911.46
a,1,260.102,1347.286
a,2,250.6986,1255.563
a,3,429.3621,1004.548
a,4,556.6683,952.636
a,5,497.7199,960.8004
a,6,345.6318,967.5313
a,7,221.2854,881.279
a,8,345.1151,713.6877
a,9,706.17,1078.462
a,10,583.2642,1179.388
a,11,612.3096,1098.188
a,12,422.7923,1368.831
a,13,479.9738,1603.648
a,14,277.0694,1008.766
a,15,488.3867,1241.287
a,16,666.4276,982.9382
a,17,775.9613,1193.143
a,18,364.6715,1000.791
a,19,310.639,1044.729
a,20,696.9205,1259.578
a,21,612.4233,1984.349
a,22,349.9232,1097.637
a,23,460.9566,1163.681
a,24,358.2352,1126.267
a,25,273.8693,1664.606
a,26,225.4459,1585.423
a,27,793.0259,1422.497
a,28,793.8396,1519.422
a,29,662.9033,1653.321
a,30,159.239,1116.697
a,31,165.4295,1103.726
a,32,907.6666,1190.418
a,33,426.0994,1062.214
a,34,212.1487,1029.491
a,35,574.5677,1252.779
a,36,360.9189,988.1886
a,37,569.2449,928.8339
a,38,398.4174,968.0665
a,39,297.6396,984.5763
a,40,277.208,957.4337
a,41,252.9738,982.3091
a,42,231.9594,830.9228
a,43,701.3409,1471.58
a,44,286.2813,1255.795
a,45,198.9156,1296.577
a,46,177.7961,646.5155
a,47,182.3849,1006.477
a,48,191.1998,1332.774
a,49,186.9337,1112.203
a,50,577.7588,1034.47
a,51,494.296,1277.522
a,52,115.8266,907.2082
a,53,206.0786,1323.179
a,54,664.0825,704.3911
a,55,149.4282,905.4149
a,56,497.8165,1128.083
a,57,337.6919,1068.071
a,58,501.4658,1145.845
a,59,470.3955,1313.42
a,60,268.8467,1098.46
a,61,497.6185,710.5591
a,62,436.67,774.4276
a,63,178.7385,754.5104
a,64,195.0156,737.123
a,65,196.9509,960.2125
a,66,178.0738,1511.699
a,67,282.6044,1299.061
a,68,173.7325,550.9658
a,69,168.2986,1024.054
a,70,178.0038,221.8755
a,71,135.1788,977.19
a,72,879.9062,1715.806
a,73,435.2013,1120.539
a,74,232.1724,1608.206
a,75,298.3024,1191.982
a,76,314.8488,1082.488
a,77,527.124,1260.518
a,78,192.6074,1329.51
a,79,237.9857,1207.338
a,80,281.9706,1073
a,81,198.124,1178.617
a,82,287.6196,1430.783
a,83,247.2266,994.7628
a,84,979.1144,2211.714
a,85,587.4244,1222.266
a,86,564.5261,1221.083
a,87,165.8941,1285.833
a,88,922.6085,2284.341
a,89,1038.732,1497.115
a,90,220.7043,1253.12
a,91,194.1406,1249.496
a,92,253.7446,1707.539
a,93,652.2677,1011.988
a,94,194.1672,693.6635
a,95,203.7875,1166.148
a,96,289.5577,1370.214
a,97,157.4259,1084.784
a,98,139.1091,891.3895
a,99,258.6159,982.9027
a,100,924.236,1567.566
a,101,669.22,1299.992
a,102,604.6371,1063.184
a,103,511.8525,1178.839
a,104,400.6405,1238.803
a,105,240.9804,1117.732
a,106,179.0844,1312.145
a,107,277.2044,1524.063
a,108,155.7351,1218.982
a,109,248.0835,1242.403
a,110,174.6288,1241.802
a,111,468.1749,1259.61
a,112,144.6788,1060.999
a,113,636.6052,1472.4
a,114,604.7435,1283.98
a,115,194.3262,694.3107
a,116,733.9919,1247.146
a,117,226.4382,2069.288
a,118,278.4447,1276.162
a,119,606.9836,1192.552
a,120,299.3734,2012.276
a,121,575.5041,1769.17
a,122,505.4872,1087.425
a,123,820.5508,1573.024
a,124,772.4382,1486.308
a,125,704.7614,1649.894
a,126,88.56399,862.3206
a,127,431.8962,1473.109
a,128,101.3432,985.3217
a,129,125.7425,1039.206
a,130,143.3152,641.5121
a,131,142.4431,930.6302
a,132,370.5549,1399.781
a,133,184.4523,1243.171
a,134,742.1387,1479.306
a,135,278.5114,1044.359
a,136,713.8235,1288.394
a,137,386.8338,931.6002
a,138,145.1964,907.2341
a,139,159.526,912.3887
a,140,94.536,897.8575
a,141,184.6643,1454.906
a,142,183.4377,1918.6
a,143,200.0414,871.4406
a,144,191.0834,1614.95
a,145,216.9707,794.8154
a,146,226.167,892.1082
a,147,178.5493,943.4556
a,148,428.9431,1449.989
a,149,215.2017,950.8315
e,0,346.6116,539.4931
e,1,249.8249,603.2592
e,2,434.4286,844.6862
e,3,173.7674,1113.024
e,4,421.9353,1684.929
e,5,367.0883,1571.812
e,6,292.8037,622.3044
e,7,181.5804,563.1
e,8,237.8456,601.4691
e,9,700,700
e,10,419.1543,1583.365
e,11,391.0533,1776.595
e,12,79.28618,252.7397
e,13,368.0151,565.5546
e,14,288.2909,1373.338
e,15,528.7288,828.9846
e,16,540.9055,883.2136
e,17,527.3525,907.5753
e,18,309.7875,521.271
e,19,376.973,755.94
e,20,276.3526,829.4923
e,21,371.6187,559.9713
e,22,404.5868,629.3973
e,23,366.9128,1219.549
e,24,333.4173,2364.724
e,25,225.082,1073.977
e,26,243.3482,570.9519
e,27,366.8246,2396.978
e,28,216.9178,1090.716
e,29,473.0288,2261.083
e,30,131.8785,639.9379
e,31,146.2705,599.715
e,32,104.0666,589.6575
e,33,416.6174,2316.88
e,34,497.9423,2390.807
e,35,421.7517,2018.13
e,36,338.5042,1027.395
e,37,410.5499,545.8836
