Vowel, Recording#, F1, F2
a,0,751.9735,1370.783
a,1,922.2687,1648.989
a,2,704.0917,1272.697
a,3,398.5146,1382.813
a,4,375.5127,1201.252
a,5,471.2249,1022.881
a,6,182.4754,1699.527
a,7,225.9489,1141.947
a,8,226.6064,1209.283
a,9,134.9255,1129.099
a,10,174.6637,939.8292
a,11,174.9037,1128.949
a,12,116.4794,797.882
a,13,458.3949,1004.393
a,14,283.5552,1084.577
a,15,165.7331,873.5358
a,16,875.7141,1601.06
a,17,577.0687,797.3168
a,18,882.7892,1635.013
a,19,413.0966,1042.689
a,20,196.0852,860.2033
a,21,410.605,1402.578
a,22,312.8163,1052.861
a,23,340.4999,1515.928
a,24,106.931,1126.955
a,25,327.844,1291.772
a,26,380.0158,1246.14
a,27,255.3021,895.9011
a,28,339.8381,887.067
a,29,311.3546,1402.909
a,30,797.1774,1390.741
a,31,806.2734,1205.084
a,32,910.8173,1129.546
a,33,194.6582,1717.355
a,34,180.7253,1369.731
a,35,209.7651,1472.21
a,36,749.4482,875.6305
a,37,394.7942,1245.69
a,38,141.2935,1268.392
a,39,149.2718,1119.267
a,40,240.2822,1075.61
a,41,165.2335,1278.698
a,42,107.2585,787.6393
a,43,700,700
a,44,344.4363,1564.685
a,45,231.4973,1059.851
a,46,298.311,1010.479
a,47,224.6353,1216.925
a,48,200.7805,1059.451
a,49,878.7661,1480.45
a,50,332.663,1262.815
a,51,736.3412,1168.03
a,52,702.7004,1201.191
a,53,569.0182,1202.743
a,54,191.4753,780.985
a,55,231.8793,939.631
a,56,474.2448,1217.03
a,57,187.1581,583.5959
a,58,229.4233,1312.021
a,59,652.7651,1546.435
a,60,245.2527,796.9238
a,61,207.4373,1458.832
a,62,180.6558,908.8757
a,63,175.3245,1483.725
a,64,246.2779,1123.373
a,65,181.78,1051.445
a,66,147.0059,1149.031
a,67,222.1424,1073.956
a,68,201.7234,982.2473
a,69,310.6498,993.1852
a,70,214.838,1279.809
a,71,206.6413,1328.843
a,72,253.3876,1675.509
a,73,184.8956,1323.589
a,74,178.9989,1156.851
a,75,194.6107,1119.99
a,76,385.1194,1328.481
a,77,191.712,1076.625
a,78,694.9705,1284.702
a,79,722.0949,1806.772
a,80,678.1855,833.4423
a,81,801.3914,1746.159
a,82,617.454,1447.826
a,83,202.1304,983.5892
a,84,247.5862,1129.247
a,85,322.7887,1234.694
a,86,288.3294,1080.442
a,87,1000.102,1816.876
a,88,141.4716,986.3186
a,89,276.735,1209.553
a,90,142.4352,1147.504
a,91,404.9645,1305.423
a,92,222.6126,803.2352
a,93,206.1781,1058.518
a,94,69.87021,1301.078
a,95,174.2411,1563.806
a,96,197.571,981.1201
a,97,181.9697,995.0488
a,98,680.4517,1088.685
a,99,272.1165,1109.887
a,100,556.0164,1394.965
a,101,753.2147,1494.487
a,102,174.9789,1176.163
a,103,142.5405,863.9442
a,104,194.3997,584.0739
a,105,191.9122,1340.372
a,106,61.7737,1034.475
a,107,196.9469,1182.134
a,108,207.9204,949.0969
a,109,141.3896,823.1626
a,110,178.0039,795.9403
a,111,263.5552,1168.971
a,112,566.9035,1464.691
a,113,316.0805,453.8573
a,114,201.845,1526.822
a,115,239.7309,1254.977
a,116,193.8306,664.0436
a,117,198.7038,1475.061
a,118,214.7708,1541.78
a,119,253.27,1216.159
a,120,186.1448,1084.517
a,121,183.9261,1212.205
a,122,179.5762,1043.389
a,123,267.6136,910.8466
a,124,211.2706,1139.301
a,125,170.723,986.1315
a,126,189.5343,1170.242
a,127,219.4039,972.0554
a,128,248.0284,1392.108
a,129,752.4305,1288.899
a,130,343.3928,1089.562
a,131,202.0985,1284.702
a,132,427.3618,947.7077
a,133,290.2227,1160.463
a,134,286.8803,1265.878
a,135,161.0938,1281.427
a,136,153.9305,914.7423
a,137,623.2138,1463.896
a,138,136.1493,1094.938
a,139,286.8167,1505.8
a,140,105.5488,1501.883
a,141,126.5452,967.5734
a,142,306.9072,1305.948
a,143,316.1159,1789.937
a,144,171.3848,1415.571
a,145,157.8901,1106.806
a,146,146.7316,1027.346
a,147,597.7963,1361.571
a,148,747.9539,1899.866
a,149,244.89,790.7446
e,0,419.5037,1644.77
e,1,469.1969,1680.998
e,2,422.4944,1296.353
e,3,319.7591,1417.425
e,4,290.7624,486.7125
e,5,251.8719,719.5196
e,6,209.8936,1024.951
e,7,239.4409,824.6878
e,8,308.5296,752.2769
e,9,196.6922,1502.05
e,10,218.0557,1040.907
e,11,211.7827,437.7787
e,12,408.9944,1825.116
e,13,542.5578,1611.62
e,14,474.4252,1975.906
e,15,503.4301,1080.454
e,16,501.4293,1102.93
e,17,427.1035,587.6533
e,18,458.7599,860.532
e,19,207.0876,1332.676
e,20,210.3443,1359.741
e,21,189.134,866.1136
e,22,318.4315,2988.307
e,23,271.0466,384.5492
e,24,400.3529,689.6033
e,25,383.0956,554.2015
e,26,518.8599,2463.349
e,27,274.4193,307.8568
e,28,188.758,366.1926
e,29,267.2004,499.8249
e,30,279.9364,676.7877
e,31,460.6703,1760.953
e,32,430.6964,2041.674
e,33,189.7805,1639.782
e,34,270.1257,449.0946
e,35,175.6006,1052.343
e,36,249.2069,624.4932
e,37,216.9855,349.409
e,38,349.8745,1152.272
e,39,181.5988,1143.314
e,40,163.3091,1881.967
e,41,157.3819,1088.16
e,42,180.0134,1037.599
e,43,286.7867,1688.456
e,44,70.44405,540.7087
e,45,266.4279,516.482
e,46,233.7491,681.921
e,47,399.6828,2272.323
e,48,244.4538,2186.44
e,49,177.952,531.8551
e,50,282.2358,2375.779
e,51,559.757,1763.577
e,52,464.9318,1746.899
e,53,435.226,1940.658
e,54,486.0335,1843.039
e,55,501.4975,2042.381
e,56,193.1948,485.1355
e,57,240.5565,1478.006
e,58,185.6637,1831.961
e,59,226.8586,2007.094
e,60,282.402,1511.799
e,61,161.3283,465.6816
e,62,278.6958,1050.001
e,63,187.8998,640.4666
e,64,145.5546,758.7471
e,65,179.9258,1524.129
e,66,322.9404,1413.852
e,67,379.1873,2059.779
e,68,333.7378,1536.928
e,69,224.8166,640.0997
e,70,437.161,997.7744
e,71,227.8992,1312.738
e,72,163.4296,1652.908
e,73,249.3599,1621.703
e,74,700,700
e,75,192.9068,520.2744
e,76,341.0876,1230.228
e,77,197.4938,1661.535
e,78,339.935,1862.378
e,79,318.876,1913.441
e,80,137.9128,194.1091
e,81,410.548,1340.83
e,82,265.7671,1385.686
e,83,293.2577,379.6031
e,84,242.2278,880.7604
e,85,340.1786,2513.338
e,86,294.6609,1059.971
e,87,166.8754,549.5428
e,88,172.7887,1071.4
e,89,286.6127,1480.608
e,90,293.3958,1903.23
e,91,200.5051,1262.025
e,92,521.7196,1475.365
e,93,156.7867,1786.556
e,94,168.661,1710.328
e,95,180.3614,1400.261
e,96,178.6575,1356.186
e,97,173.7241,1505.341
e,98,525.7974,1016.984
e,99,205.3773,1606.041
e,100,285.7171,1171.551
e,101,669.6889,694.0181
e,102,132.6788,1163.855
e,103,188.8214,1061.935
e,104,171.1149,982.5296
e,105,205.5534,1848.53
e,106,303.2065,1724.005
e,107,103.6381,1142.262
e,108,205.1731,543.8779
e,109,188.4248,1147.139
e,110,177.0076,480.992
e,111,297.0647,1127.435
e,112,237.2003,1020.85
e,113,426.7687,496.8378
e,114,239.4449,1447.797
e,115,230.8395,1763.205
e,116,519.7181,1836.155
e,117,193.9974,1617.449
e,118,130.9044,291.2327
e,119,229.8533,1682.683
e,120,206.6085,1051.267
e,121,178.9985,285.6168
e,122,183.0626,742.1285
e,123,255.4529,503.1698
e,124,235.5741,1116.718
e,125,266.0768,1516.216
e,126,39.20283,502.985
e,127,245.1267,1380.873
e,128,261.046,1979.081
e,129,608.5616,2060.263
e,130,336.098,1975.446
e,131,214.2875,1015.189
e,132,477.1035,624.0324
e,133,312.7146,659.6449
e,134,341.5733,665.1525
e,135,156.6709,778.843
e,136,370.6356,1722.854
e,137,184.6526,1087.917
e,138,563.4335,2189.94
e,139,130.3116,725.8732
e,140,479.185,1596.519
e,141,453.7769,1587.659
e,142,247.2044,1096.866
e,143,205.3917,2225.39
e,144,121.1012,1168.787
e,145,565.4742,1934.943
e,146,154.2542,509.2434
e,147,450.2022,2242.775
e,148,235.6087,486.9118
e,149,241.2301,537.6507
i,0,299.7025,1322.967
i,1,288.1485,321.9359
i,2,327.5363,1986.759
i,3,218.7232,1632.859
i,4,298.5872,477.3572
i,5,311.8995,1729.948
i,6,187.9205,1502.765
i,7,268.5337,1583.185
i,8,289.5156,1412.319
i,9,313.9679,1574.601
i,10,281.0349,967.0029
i,11,250.0093,1480.375
