magnitudes,hps1,hps2,hps3,hps4,Product,f0
0.001156272,0.001156272,0.001156272,0.001156272,0.001156272,2.066811E-15,387.5977
0.03987355,0.08363163,0.133714,0.1899378,0.249126,2.109905E-05,387.5977
0.08363163,0.1899378,0.3054371,0.3789888,0.3559039,0.0006544296,387.5977
0.133714,0.3054371,0.3817977,0.2258266,0.1984604,0.0006988455,387.5977
0.1899378,0.3789888,0.2258266,0.2789671,0.2872775,0.001302769,387.5977
0.249126,0.3559039,0.1984604,0.2872775,0.4271278,0.002159161,387.5977
0.3054371,0.2258266,0.3605215,0.3573696,0.2655179,0.002359607,387.5977
0.3513369,0.1328729,0.2218864,0.2813811,1.463522,0.004265646,387.5977
0.3789888,0.2789671,0.3573696,0.8372868,1.585157,0.05014682,387.5977
0.3817977,0.3605215,0.3977704,1.526642,1.408948,0.1177685,387.5977
0.3559039,0.2872775,0.2655179,1.585157,0.1524587,0.006560735,387.5977
0.3016494,0.2028518,1.108709,1.594888,0.4040672,0.04372023,387.5977
0.2258266,0.3573696,1.526642,0.5406948,0.5534449,0.0368686,387.5977
0.1496958,0.4459064,1.533697,0.3738596,0.5408108,0.02069889,387.5977
0.1328729,0.2813811,1.706114,0.3766607,0.2130718,0.005119359,387.5977
0.1984604,0.2655179,1.408948,0.5534449,0.09716477,0.003992508,387.5977
0.2789671,0.8372868,0.5406948,0.601097,0.04677039,0.003550544,387.5977
0.338006,1.323814,0.2665685,0.2967045,0.0721722,0.002554197,387.5977
0.3605215,1.526642,0.4301169,0.1923985,0.06348392,0.002891482,387.5977
0.3416269,1.522165,0.3776013,0.05372732,0.04356467,0.0004595967,387.5977
0.2872775,1.585157,0.5534449,0.04677039,0.01746652,0.0002058853,387.5977
0.2218864,1.706114,0.6342233,0.0589406,0.03803558,0.0005382517,387.5977
0.2028518,1.594888,0.461516,0.08734048,0.02974688,0.0003879296,387.5977
0.2656115,1.151162,0.2407637,0.02613066,0.02715508,5.223671E-05,387.5977
0.3573696,0.5406948,0.1923985,0.05015417,0.1131166,0.0002109137,387.5977
0.4271278,0.1524587,0.09716477,0.01746652,0.1494464,1.651621E-05,387.5977
0.4459064,0.3738596,0.01899745,0.03821845,0.2391091,2.894121E-05,387.5977
0.3977704,0.4301169,0.04729592,0.003992478,0.107465,3.471781E-06,387.5977
0.2813811,0.3766607,0.0589406,0.05019534,0.06744249,2.114739E-05,387.5977
0.1485695,0.4184008,0.08883505,0.0135608,0.02256542,1.6898E-06,387.5977
0.2655179,0.5534449,0.06348392,0.1131166,0.04198825,4.430838E-05,387.5977
0.5412061,0.6362331,0.02054974,0.1415496,0.05883972,5.893381E-05,387.5977
0.8372868,0.601097,0.05015417,0.2144501,0.04487748,0.0002429297,387.5977
1.108709,0.461516,0.03152571,0.2142313,0.1305619,0.0004511993,387.5977
1.323814,0.2967045,0.02154331,0.07217605,0.1589088,9.705203E-05,387.5977
1.463522,0.2130718,0.03803558,0.06744249,0.1566007,0.0001252687,387.5977
1.526642,0.1923985,0.003992478,0.02468177,0.07472884,2.162948E-06,387.5977
1.533388,0.1385026,0.04278151,0.05185244,0.03455456,1.627949E-05,387.5977
1.522165,0.05372732,0.04239137,0.007093294,0.004040193,9.935378E-08,387.5977
1.533697,0.01899745,0.03203991,0.07257163,0.005115586,3.465681E-07,387.5977
1.585157,0.04677039,0.1131166,0.04487748,0.02885705,1.08605E-05,387.5977
1.656727,0.04547963,0.1397443,0.1038756,0.02640012,2.887495E-05,387.5977
1.706114,0.0589406,0.1667244,0.1640435,0.01426475,3.923239E-05,387.5977
1.693183,0.0832365,0.2321407,0.158336,0.003932233,2.036985E-05,387.5977
1.594888,0.08734048,0.2142313,0.146746,0.001307999,5.727992E-06,387.5977
1.408948,0.06348392,0.107465,0.07472884,0.002388646,1.715796E-06,387.5977
1.151162,0.02613066,0.05235681,0.03980624,0.00534837,3.352993E-07,387.5977
0.8499247,0.03169628,0.06504011,0.01389091,0.006290668,1.531078E-07,387.5977
0.5406948,0.05015417,0.02468177,0.004666309,0.004051613,1.265427E-08,387.5977
0.2676427,0.04334303,0.04577506,0.009973126,0.0008657121,4.584672E-09,387.5977
0.1524587,0.01746652,0.04198825,0.02885705,0.001958468,6.319093E-09,387.5977
0.2665685,0.02154331,0.01701487,0.02883469,0.004269912,1.203051E-08,387.5977
0.3738596,0.03821845,0.07257163,0.01861987,0.000943087,1.820861E-08,387.5977
0.4264813,0.03157867,0.06343146,0.01002384,0.004712615,4.035475E-08,387.5977
0.4301169,0.003992478,0.04290021,0.002396316,0.005341986,9.430515E-10,387.5977
0.4040672,0.02974688,0.1305619,0.001307999,0.004614103,9.471228E-09,387.5977
0.3766607,0.05019534,0.1640435,0.001806555,0.001704699,9.551498E-09,387.5977
0.3776013,0.04239137,0.1572703,0.004320959,0.0009297578,1.011364E-08,387.5977
0.4184008,0.0135608,0.1607846,0.006013861,0.0004074408,2.235321E-09,387.5977
0.4845601,0.0611467,0.131603,0.006157176,0.002521743,6.054368E-08,387.5977
0.5534449,0.1131166,0.07472884,0.004051613,0.002201641,4.173142E-08,387.5977
0.6075779,0.137422,0.04458643,0.0007916442,0.0005362387,1.580334E-09,387.5977
0.6362331,0.1415496,0.02820937,0.001458266,0.0008705205,3.225033E-09,387.5977
0.6342233,0.1667244,0.007708084,0.003210214,0.001480007,3.872447E-09,387.5977
0.601097,0.2144501,0.004666309,0.003989178,0.001374052,3.29709E-09,387.5977
0.5408108,0.2391091,0.005115586,0.000943087,0.000290698,1.813555E-10,387.5977
0.461516,0.2142313,0.02081579,0.004399837,0.001604845,1.453223E-08,387.5977
0.3751842,0.147123,0.03086705,0.004894699,0.001232744,1.028061E-08,387.5977
0.2967045,0.07217605,0.02883469,0.005639912,0.001234172,4.298141E-09,387.5977
0.2407637,0.05235681,0.02106457,0.003975532,0.001430641,1.510228E-09,387.5977
0.2130718,0.06744249,0.01426475,0.001704699,0.0005682245,1.985599E-10,387.5977
0.2027681,0.05496106,0.00787598,0.0009596456,0.0004048315,3.409922E-11,387.5977
0.1923985,0.02468177,0.002396316,0.0006863379,0.001351177,1.055291E-11,387.5977
0.1715252,0.03419923,0.00122197,0.00109852,0.0003582649,2.82109E-12,387.5977
0.1385026,0.05185244,0.001236056,0.002810898,0.001112464,2.775852E-11,387.5977
0.09716477,0.04198825,0.002388646,0.002201641,0.0009932275,2.131001E-11,387.5977
0.05372732,0.007093294,0.004320959,0.0005455461,0.0008570508,7.699479E-13,387.5977
0.01534013,0.03940253,0.005728158,0.0007634243,0.001709113,4.517569E-12,387.5977
0.01899745,0.07257163,0.006301198,0.001063804,0.00197151,1.82199E-11,387.5977
0.03812304,0.0754313,0.00587921,0.001575948,0.002071355,5.518925E-11,387.5977
0.04677039,0.04487748,0.004051613,0.001374052,0.0004937328,5.769291E-12,387.5977
0.04729592,0.04290021,0.001350724,0.0002766248,0.002203191,1.670295E-12,387.5977
0.04547963,0.1038756,0.00117167,0.001266773,0.001037752,7.276599E-12,387.5977
0.04859662,0.1498841,0.00159813,0.001589662,0.002803968,5.188617E-11,387.5977
0.0589406,0.1640435,0.003210214,0.001136631,0.005686359,2.006141E-10,387.5977
0.0721722,0.1589088,0.004269912,0.001234172,0.002572103,1.554537E-10,387.5977
0.0832365,0.158336,0.00241557,0.001492805,0.005885653,2.797118E-10,387.5977
0.08883505,0.1607846,0.001847071,0.0009215425,0.002178184,5.295687E-11,387.5977
0.08734048,0.146746,0.004399837,0.0003971361,0.004171204,9.341556E-11,387.5977
0.07853967,0.1128523,0.004827468,0.0005936109,0.004719708,1.198769E-10,387.5977
0.06348392,0.07472884,0.005341986,0.001351177,0.004498354,1.540354E-10,387.5977
0.04449105,0.05067481,0.005502172,0.0006916301,0.003888466,3.336193E-11,387.5977
0.02613066,0.03980624,0.003975532,0.0007597031,0.006347477,1.994076E-11,387.5977
0.02054974,0.02820937,0.002138503,0.001191599,0.001234134,1.823064E-12,387.5977
0.03169628,0.01389091,0.001159659,0.0008763831,0.009568276,4.28151E-12,387.5977
0.04356467,0.004040193,0.0009297578,0.0008570508,0.003189157,4.472896E-13,387.5977
0.05015417,0.004666309,0.0006863379,0.001579738,0.006553124,1.662846E-12,387.5977
0.05001542,0.002689715,0.0006506469,0.001893128,0.0008476525,1.404602E-13,387.5977
0.04334303,0.009973126,0.002102402,0.002122862,0.003295268,6.357391E-12,387.5977
0.03152571,0.02081579,0.002929003,0.001854258,0.001437137,5.122073E-12,387.5977
0.01746652,0.02885705,0.002201641,0.0004937328,0.001237643,6.780973E-13,387.5977
0.01120513,0.03140899,0.0007880146,0.002074681,0.002415508,1.38984E-12,387.5977
0.02154331,0.02883469,0.0006256565,0.001678444,0.002616478,1.70682E-12,387.5977
0.03225892,0.0237103,0.0008123064,0.001041305,0.001717152,1.110947E-12,387.5977
0.03821845,0.01861987,0.001063804,0.003642758,0.001309032,3.609871E-12,387.5977
0.03803558,0.01426475,0.001480007,0.005686359,0.0013996,6.390817E-12,387.5977
0.03157867,0.01002384,0.001601882,0.002825517,0.001315875,1.88526E-12,387.5977
0.01968654,0.005804996,0.00116617,0.00516226,0.002451981,1.686902E-12,387.5977
0.003992478,0.002396316,0.0002766248,0.005078266,0.004146498,5.572816E-14,387.5977
0.01332261,0.001089529,0.0009734373,0.0009969418,0.002886177,4.065639E-14,387.5977
0.02974688,0.001307999,0.001604845,0.004171204,0.00343554,8.948256E-13,387.5977
0.04278151,0.001236056,0.001487258,0.005664608,0.001180411,5.258761E-13,387.5977
0.05019534,0.001806555,0.001136631,0.0007629016,0.001385521,1.089471E-13,387.5977
0.05032428,0.003041366,0.001145639,0.006334373,0.001263126,1.402958E-12,387.5977
0.04239137,0.004320959,0.001430452,0.002330346,0.001261763,7.704225E-13,387.5977
0.02715508,0.00534837,0.001430641,0.006347477,0.001295187,1.708193E-12,387.5977
0.0135608,0.006013861,0.0009215425,0.003601127,0.001047328,2.83449E-13,387.5977
0.03203991,0.006301198,0.0004642356,0.00655568,0.005701454,3.503129E-12,387.5977
0.0611467,0.006157176,0.0003231662,0.009148129,0.003741533,4.164496E-12,387.5977
0.08954371,0.005437556,0.0008317383,0.001703946,0.006674416,4.605689E-12,387.5977
